Date,Inverter,Energy,
4/17/2022,2,10922.0,
4/18/2022,2,13560.2,
4/19/2022,2,13474.3,
4/20/2022,2,15839.7,
4/21/2022,2,5732.8,
4/22/2022,2,11567.4,
4/23/2022,2,15953.8,
4/24/2022,2,15623.6,
4/25/2022,2,14501.9,
4/26/2022,2,10090.8,
4/27/2022,2,15221.3,
4/28/2022,2,12565.9,
4/29/2022,2,16305.7,
4/30/2022,2,15851.9,
5/1/2022,2,12485.5,
5/2/2022,2,15994.6,
5/3/2022,2,17100.7,
5/4/2022,2,16272.4,
5/5/2022,2,14273.3,
5/6/2022,2,16074.5,
5/7/2022,2,14848.0,
5/8/2022,2,15589.2,
5/9/2022,2,12428.9,
5/10/2022,2,13603.0,
5/11/2022,2,4966.8,
5/12/2022,2,5572.7,
5/13/2022,2,16390.8,
5/14/2022,2,16706.0,
5/15/2022,2,13949.7,
5/16/2022,2,16781.4,
5/17/2022,2,16607.0,
5/18/2022,2,16233.4,
5/19/2022,2,13920.7,
5/20/2022,2,16613.5,
5/21/2022,2,17403.8,
5/22/2022,2,11637.4,
5/23/2022,2,14897.2,
5/24/2022,2,16782.2,
5/25/2022,2,14140.7,
5/26/2022,2,14728.5,
5/27/2022,2,14577.5,
5/28/2022,2,14800.0,
5/29/2022,2,17245.3,
5/30/2022,2,17183.9,
5/31/2022,2,16450.5,
6/1/2022,2,17119.0,
6/2/2022,2,14653.0,
6/3/2022,2,15202.5,
6/4/2022,2,13977.1,
6/5/2022,2,16610.4,
6/6/2022,2,17033.3,
6/7/2022,2,16848.6,
6/8/2022,2,15894.5,
6/9/2022,2,15091.8,
6/10/2022,2,17025.9,
6/11/2022,2,17067.8,
6/12/2022,2,15091.3,
6/13/2022,2,17869.7,
6/14/2022,2,17666.2,
6/15/2022,2,17766.4,
6/16/2022,2,17120.9,
6/17/2022,2,12369.6,
6/18/2022,2,17388.9,
6/19/2022,2,17172.6,
6/20/2022,2,16925.1,
6/21/2022,2,15988.2,
6/22/2022,2,10198.7,
6/23/2022,2,15597.7,
6/24/2022,2,15743.1,
6/25/2022,2,16576.9,
6/26/2022,2,16835.8,
6/27/2022,2,16918.8,
6/28/2022,2,16913.7,
6/29/2022,2,16660.3,
6/30/2022,2,17095.1,
